Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=INT_3V3 Pin=C2-2
Removed Pin From Net: NetName=SD_DAT0 Pin=R6-1
Removed Pin From Net: NetName=NetR6_1 Pin=R6-2
Removed Pin From Net: NetName=NetR8_1 Pin=R8-1
Removed Pin From Net: NetName=SD_CMD Pin=R8-2
Removed Pin From Net: NetName=NetR8_1 Pin=U1-1
Removed Pin From Net: NetName=INT_3V3 Pin=U1-2
Removed Pin From Net: NetName=NetR6_1 Pin=U1-4
Removed Pin From Net: NetName=NetD3_2 Pin=U1-5
Removed Pin From Net: NetName=NetD3_2 Pin=U1-6
Removed Pin From Net: NetName=NetR6_1 Pin=U1-9
Removed Pin From Net: NetName=NetR9_1 Pin=U1-12
Removed Pin From Net: NetName=NetD3_3 Pin=U1-15
Removed Pin From Net: NetName=NetD3_3 Pin=U1-16
Removed Member From Class: ClassName=SD_0 Member=C2
Removed Member From Class: ClassName=SD_0 Member=D3
Removed Member From Class: ClassName=SD_0 Member=R4
Removed Member From Class: ClassName=SD_0 Member=R6
Removed Member From Class: ClassName=SD_0 Member=R7
Removed Member From Class: ClassName=SD_0 Member=R8
Removed Member From Class: ClassName=SD_0 Member=U1
Change Component Footprint: Designator=U1 Old Footprint=LM2902Q4T-Footprint-1 New Footprint=D0014A_L
Change Component Comment : Designator=U1 Old Comment=LM2902Q4T New Comment=LM324D
Change Managed Component Library Link : Designator=U1 Old VaultGUID=D5CACE43-709A-4464-BB04-ED577B050C2A New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=93075683-3c28-496a-bc03-4e515d6f21e6 New ItemGUID=13EBB4E7-07A7-461F-9387-517BE2D9FCEA Old RevisionGUID=9b6a1d9c-ecfe-4f61-9a96-4da6b92f8665 New RevisionGUID=34BB03C5-0718-4B59-87CC-7ADC7008A30B
Change component parameters: Designator = "U1" ("U1"); Footprint = "LM2902Q4T-Footprint-1"; UniqueID = "\STLYSLQG\QCBCBJVG" ("\STLYSLQG\QCBCBJVG")
Added Component: Designator=U?(LM2902Q4T-Footprint-1)
Added Component: Designator=U?(LM2902Q4T-Footprint-1)
Added Component: Designator=U?(LM2902Q4T-Footprint-1)
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=INT_3V3 Pin=C?-2
Added Pin To Net: NetName=CAN1_TX Pin=R6-1
Added Pin To Net: NetName=CAN1_RX Pin=R8-2
Added Pin To Net: NetName=NetR8_1 Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-2
Added Pin To Net: NetName=GND Pin=R?-2
Added Pin To Net: NetName=NetR6_1 Pin=R?-2
Added Pin To Net: NetName=NetD3_2 Pin=U1-1
Added Pin To Net: NetName=NetD3_2 Pin=U1-2
Added Pin To Net: NetName=INT_3V3 Pin=U1-4
Added Pin To Net: NetName=NetD3_3 Pin=U1-6
Added Pin To Net: NetName=NetD3_3 Pin=U1-7
Added Pin To Net: NetName=NetR8_1 Pin=U?-1
Added Pin To Net: NetName=INT_3V3 Pin=U?-2
Added Pin To Net: NetName=NetR6_1 Pin=U?-4
Added Pin To Net: NetName=NetR6_1 Pin=U?-9
Added Pin To Net: NetName=GND Pin=U?-11
Added Pin To Net: NetName=NetR9_1 Pin=U?-12
Added Pin To Net: NetName=NetD?_1 Pin=D?-1
Added Pin To Net: NetName=NetD?_1 Pin=R?-1
Added Net: Name=NetD?_1
Added Pin To Net: NetName=NetD?_2 Pin=D?-2
Added Pin To Net: NetName=NetD?_2 Pin=U?-5
Added Pin To Net: NetName=NetD?_2 Pin=U?-6
Added Net: Name=NetD?_2
Added Pin To Net: NetName=NetD?_3 Pin=D?-3
Added Pin To Net: NetName=NetD?_3 Pin=U?-15
Added Pin To Net: NetName=NetD?_3 Pin=U?-16
Added Net: Name=NetD?_3
Added Pin To Net: NetName=NetD?_4 Pin=D?-4
Added Pin To Net: NetName=NetD?_4 Pin=R?-1
Added Net: Name=NetD?_4
Added Pin To Net: NetName=NetR6_2 Pin=R6-2
Added Pin To Net: NetName=NetR6_2 Pin=U1-3
Added Net: Name=NetR6_2
Add Net: Net with name "NetR8_1" already exists
Add Net: Net with name "SD_CMD" already exists
Add Net: Net with name "SD_DAT0" already exists
Added Member To Class: ClassName=MCU_0 Member=Component C? C0402C104K8PACTU
Added Member To Class: ClassName=MCU_0 Member=Component D3 150066RG54050
Added Member To Class: ClassName=MCU_0 Member=Component D? 150066RG54050
Added Member To Class: ClassName=MCU_0 Member=Component R4 ERJ-3EKF1001V
Added Member To Class: ClassName=MCU_0 Member=Component R6 ERJ3EKF1002V
Added Member To Class: ClassName=MCU_0 Member=Component R7 ERJ-3EKF1001V
Added Member To Class: ClassName=MCU_0 Member=Component R8 ERJ3EKF1002V
Added Member To Class: ClassName=MCU_0 Member=Component R? ERJ3EKF1002V
Added Member To Class: ClassName=MCU_0 Member=Component R? ERJ-3EKF1001V
Added Member To Class: ClassName=MCU_0 Member=Component R? ERJ-3EKF1001V
Added Member To Class: ClassName=MCU_0 Member=Component R? ERJ3EKF1002V
Added Member To Class: ClassName=MCU_0 Member=Component U1 LM324D
Added Member To Class: ClassName=MCU_0 Member=Component U? LM2902Q4T
Added Member To Class: ClassName=MCU_0 Member=Component U? LM2902Q4T
Added Member To Class: ClassName=MCU_0 Member=Component U? LM2902Q4T
Added Member To Class: ClassName=MCU_0 Member=Component U? LM2902Q4T
Added Member To Class: ClassName=MCU_0 Member=Component U? LM2902Q4T
